Cam1,Cam2,Temp,Press,Alt,Accel_x2,Accel_y2,Accel_z2,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Mag_x,Mag_y,Mag_z,Quaternion_1,Quaternion_2,Quaternion_3,Quaternion_4,Stage,Time
0,0,25.7621326,910.6390991,891.6364136,2.1182363,1.7651969,-32.5973053,2.4263222,0.660419,-36.739399,0.0411348,-0.0111958,-0.1463026,7.1303329,28.17066,24.6054935,-0.0431401,0.8217595,0.5669401,0.0376882,0,2538101
1,0,25.7614574,910.642334,891.6068115,0.3530394,-1.4121575,-40.4818535,1.4428722,2.6201408,-40.4004135,-0.0065127,-0.0136392,-0.1487461,7.2472239,28.3459969,24.3717117,-0.0430001,0.8217507,0.566964,0.0376825,0,2538126
1,0,25.7602367,910.6358643,891.6655273,-0.1176798,0.8237587,-43.4238472,1.8305094,-0.8039884,-44.5926437,0.0411348,-0.0283,-0.1438592,7.3056688,28.28755,24.8977203,-0.042948,0.8217456,0.5669793,0.0376203,0,2538152
1,0,25.7597446,910.6452637,891.5799561,0.588399,0.4707192,-44.1299248,3.0723841,-2.4837499,-48.4977303,0.0240306,-0.0356304,-0.2354889,7.3056688,27.3524246,24.8392754,-0.0429389,0.8217425,0.5669889,0.0375545,0,2538178
1,0,25.759964,910.6328735,891.6923828,-0.3530394,1.4121575,-47.3072853,0.0717847,-2.9216366,-49.0935402,0.0228089,-0.0478477,-0.3197883,7.1887784,29.8071289,24.7808285,-0.0429111,0.821727,0.5670217,0.0374297,0,2538204
1,1,25.7592545,910.6306152,891.7131958,1.5298375,-0.3530394,-55.3095055,0.7752746,-2.7206395,-51.8716087,-0.000404,-0.0661736,-0.3002407,8.0070133,28.7551136,25.4821739,-0.0428636,0.8217289,0.5670304,0.0373112,0,2538229
0,0,25.7593079,910.6196899,891.812439,3.6480737,1.8828769,-56.6039886,-2.8283162,0.1148555,-49.423748,0.0704563,-0.0906083,-0.3112362,7.1887784,29.3395672,24.7808285,-0.0427297,0.8217182,0.5670655,0.0371668,0,2538255
0,0,25.759491,910.6208496,891.8014526,1.5298375,2.1182363,-62.7233353,-3.3882368,5.2905312,-62.6464882,0.0435783,-0.0038654,-0.0119123,7.3056688,30.0993557,25.0730572,-0.0425185,0.8217108,0.5670974,0.0370888,0,2538281
0,0,25.7587624,910.6034546,891.9598999,1.7651969,3.4127142,-58.1338234,3.4815569,13.4021997,-55.5613441,0.0643477,0.0046867,0.1530213,7.7732315,30.3915825,25.248394,-0.0422325,0.8217009,0.5671235,0.0372327,0,2538307
0,1,25.759655,910.5787354,892.1841431,3.059675,3.4127142,-59.6636658,2.0961127,8.2839518,-58.8634377,-0.2264242,-0.0002002,0.1762342,7.2472239,29.7486839,25.306839,-0.0420187,0.8216924,0.5671479,0.0372911,0,2538333
1,1,25.7591801,910.5592041,892.3612061,-1.6475173,4.2364726,-59.7813416,-2.0171494,2.3904297,-64.6349182,0.0509087,0.0425604,0.4315759,6.5458798,29.3980122,25.189949,-0.0418839,0.8216884,0.5671691,0.0372085,0,2538358
