time,state,pressure,altitude,startAlt,temperature,velocity_world_x,velocity_world_y,velocity_world_z,baro_vz,lsm_accel_r,lsm_accel_p,lsm_accel_y,lsm_gyro_r,lsm_gyro_p,lsm_gyro_y,adxl_accel_r,adxl_accel_p,adxl_accel_y,predicted_apogee,airbrake_deployment,mag_r,mag_p,mag_y,q0,q1,q2,q3,accel_world_x,accel_world_y,accel_world_z,alt_fused,cam1_on,cam2_on,main_p_ematch_voltage,main_s_ematch_voltage,drogue_p_ematch_voltage,drogue_s_ematch_voltage,roll,pitch,yaw,t_burnout,t_apogee,t_drogue,t_main,t_land,drogue_validated_baro,main_validated_baro
590889,1,937.298,652.457,650.261,44.040,-0.004,0.004,-0.043,0.155,9.785,-0.260,-0.154,-0.009,0.001,0.001,13.454,-2.883,-1.922,0.000,0,-18.130,-8.272,-96.495,0.982,-0.010,0.010,0.189,-0.037,-0.015,-0.020,2.021,1,1,14140,14219,14190,14159,21.731,-0.903,1.290,0,0,0,0,0,0,0
591889,1,937.335,652.132,650.261,44.040,-0.003,0.003,-0.115,-0.153,9.793,-0.177,-0.146,-0.001,0.002,0.001,11.532,-2.883,13.454,0.000,0,-17.682,-8.160,-97.881,0.982,-0.011,0.007,0.189,-0.022,0.034,-0.015,1.974,1,1,14130,14224,14182,14164,21.793,-1.083,0.989,0,0,0,0,0,0,0
592889,1,937.332,652.155,650.261,44.040,-0.006,-0.001,-0.130,-0.038,9.796,-0.213,-0.196,-0.010,0.001,-0.001,20.181,-1.922,-9.610,0.000,0,-17.626,-8.370,-97.755,0.982,-0.012,0.009,0.189,0.011,0.011,-0.009,1.826,1,1,14132,14207,14184,14160,21.796,-1.183,1.329,0,0,0,0,0,0,0
593889,1,937.322,652.248,650.261,44.050,-0.008,-0.004,0.041,-0.126,9.813,-0.292,-0.202,0.013,0.002,-0.001,20.181,-2.883,-11.532,0.000,0,-18.466,-7.880,-96.901,0.982,-0.012,0.013,0.190,0.005,-0.028,0.009,2.208,1,1,14126,14218,14189,14170,21.862,-1.022,1.673,0,0,0,0,0,0,0
594889,1,937.285,652.570,650.261,44.050,-0.014,-0.014,0.079,0.118,9.813,-0.417,-0.224,0.038,0.003,-0.001,12.493,-1.922,10.571,0.000,0,-18.018,-8.076,-96.775,0.982,-0.014,0.011,0.190,-0.136,-0.050,0.013,2.268,1,1,14168,14212,14189,14165,21.853,-1.330,1.586,0,0,0,0,0,0,0
595890,1,937.279,652.631,650.261,44.050,-0.013,-0.018,0.033,0.181,9.809,-0.254,-0.259,-0.044,-0.002,0.001,12.493,-0.961,13.454,0.000,0,-17.444,-8.622,-96.789,0.982,-0.011,0.007,0.190,-0.037,-0.089,0.006,2.216,1,1,14160,14232,14187,14164,21.928,-1.109,1.088,0,0,0,0,0,0,0
596890,1,937.290,652.528,650.261,44.050,-0.011,-0.003,0.040,0.055,9.803,-0.192,-0.181,0.016,-0.002,0.000,21.142,-1.922,12.493,0.000,0,-17.822,-8.048,-98.413,0.982,-0.011,0.010,0.191,0.045,0.018,-0.003,2.234,1,1,14158,14214,14192,14161,21.993,-1.054,1.397,0,0,0,0,0,0,0
597890,1,937.313,652.322,650.261,44.050,-0.004,0.010,-0.090,-0.096,9.800,-0.280,-0.154,-0.009,-0.002,0.001,15.376,0.000,7.688,0.000,0,-17.612,-8.426,-98.119,0.981,-0.009,0.010,0.191,-0.038,-0.045,-0.005,2.107,1,1,14180,14215,14186,14161,22.024,-0.745,1.336,0,0,0,0,0,0,0
598890,1,937.308,652.372,650.261,44.050,-0.001,0.015,-0.036,0.012,9.805,-0.199,-0.129,0.004,-0.001,0.001,16.337,-1.922,0.000,0.000,0,-17.458,-8.370,-98.301,0.981,-0.008,0.007,0.192,-0.035,-0.019,-0.003,2.044,1,1,14133,14216,14189,14159,22.104,-0.732,0.935,0,0,0,0,0,0,0
599890,1,937.287,652.554,650.261,44.050,-0.001,0.017,0.087,0.105,9.796,-0.150,-0.162,0.016,0.001,0.000,14.415,-7.688,7.688,0.000,0,-17.178,-8.286,-96.593,0.981,-0.011,0.007,0.192,0.023,0.035,-0.011,2.254,1,1,14162,14217,14192,14160,22.124,-1.083,1.074,0,0,0,0,0,0,0
600890,1,937.341,652.081,650.261,44.050,-0.002,0.015,-0.082,-0.279,9.796,-0.182,-0.133,0.001,0.001,-0.001,7.688,-4.805,6.727,0.000,0,-18.396,-8.566,-96.915,0.981,-0.009,0.009,0.192,0.027,0.013,-0.011,2.051,1,1,14164,14220,14189,14164,22.150,-0.787,1.232,0,0,0,0,0,0,0
601890,1,937.342,652.074,650.261,44.050,-0.001,0.015,-0.090,-0.177,9.790,-0.257,-0.138,-0.001,0.002,-0.001,9.610,-0.961,12.493,0.000,0,-17.570,-8.132,-95.697,0.981,-0.011,0.012,0.192,-0.001,0.036,-0.015,1.908,1,1,14155,14216,14192,14165,22.175,-1.003,1.578,0,0,0,0,0,0,0
602890,1,937.323,652.240,650.261,44.060,-0.000,0.016,-0.027,-0.050,9.808,-0.263,-0.180,-0.010,0.002,-0.001,15.376,-3.844,-6.727,0.000,0,-17.808,-8.090,-96.677,0.981,-0.014,0.012,0.193,0.002,0.048,0.003,2.030,1,1,14154,14215,14190,14157,22.206,-1.301,1.655,0,0,0,0,0,0,0
603890,1,937.363,651.881,650.261,44.070,-0.001,0.016,-0.080,-0.371,9.815,-0.225,-0.182,0.007,0.001,0.000,6.727,-11.532,-2.883,0.000,0,-17.752,-8.776,-96.943,0.981,-0.011,0.009,0.193,0.000,0.000,0.010,1.951,1,1,14158,14222,14179,14160,22.246,-1.061,1.313,0,0,0,0,0,0,0
604890,1,937.349,652.005,650.261,44.080,-0.001,0.014,-0.124,-0.138,9.808,-0.263,-0.215,-0.000,-0.001,0.000,18.259,-4.805,-3.844,0.000,0,-17.388,-8.468,-96.439,0.981,-0.012,0.010,0.193,-0.009,-0.022,0.004,1.777,1,1,14160,14220,14188,14168,22.262,-1.160,1.445,0,0,0,0,0,0,0
605890,1,937.349,652.010,650.261,44.090,-0.000,0.014,-0.055,-0.153,9.808,-0.229,-0.166,0.006,0.002,0.000,10.571,-1.922,11.532,0.000,0,-17.626,-8.328,-98.315,0.981,-0.011,0.009,0.194,-0.008,-0.001,0.002,1.888,1,1,14150,14222,14173,14164,22.331,-0.985,1.292,0,0,0,0,0,0,0
606890,1,937.345,652.037,650.261,44.090,-0.001,0.014,0.028,-0.172,9.802,-0.229,-0.140,0.007,0.001,0.000,9.610,0.000,0.000,0.000,0,-18.144,-8.594,-96.523,0.981,-0.010,0.010,0.194,-0.007,0.012,-0.004,1.982,1,1,14164,14217,14177,14164,22.357,-0.897,1.323,0,0,0,0,0,0,0
607890,1,937.325,652.219,650.261,44.090,0.001,0.014,-0.026,0.045,9.794,-0.221,-0.217,0.013,0.001,0.001,16.337,0.000,1.922,0.000,0,-17.290,-8.468,-97.447,0.981,-0.012,0.009,0.194,0.006,-0.013,-0.011,1.896,1,1,14159,14215,14188,14164,22.378,-1.184,1.300,0,0,0,0,0,0,0
608890,1,937.333,652.145,650.261,44.100,0.001,0.014,0.022,-0.092,9.800,-0.245,-0.190,0.001,0.001,-0.001,5.766,-3.844,10.571,0.000,0,-17.542,-8.678,-97.881,0.981,-0.011,0.011,0.194,0.019,-0.015,-0.005,2.011,1,1,14159,14218,14190,14158,22.411,-0.993,1.502,0,0,0,0,0,0,0
609890,1,937.340,652.084,650.261,44.110,0.001,0.013,-0.035,-0.134,9.818,-0.254,-0.117,-0.005,0.002,0.000,8.649,-3.844,10.571,0.000,0,-18.256,-8.286,-97.363,0.981,-0.011,0.011,0.195,-0.022,0.043,0.012,1.943,1,1,14136,14221,14189,14164,22.476,-0.963,1.458,0,0,0,0,0,0,0
610890,1,937.297,652.470,650.261,44.100,0.004,0.013,0.010,0.239,9.793,-0.209,-0.192,0.002,0.001,0.001,9.610,-2.883,4.805,0.000,0,-17.402,-8.902,-96.383,0.981,-0.012,0.008,0.195,-0.022,0.007,-0.013,1.979,1,1,14157,14217,14191,14167,22.510,-1.204,1.122,0,0,0,0,0,0,0
611890,1,937.307,652.383,650.261,44.100,0.003,0.012,0.017,0.130,9.808,-0.183,-0.178,0.001,0.001,0.000,10.571,-2.883,10.571,0.000,0,-17.374,-8.020,-96.285,0.981,-0.010,0.008,0.196,0.008,-0.007,0.002,2.012,1,1,14154,14224,14184,14159,22.560,-0.987,1.096,0,0,0,0,0,0,0
612890,1,937.340,652.089,650.261,44.110,0.003,0.012,-0.075,-0.108,9.811,-0.239,-0.160,0.011,0.001,-0.001,15.376,-2.883,9.610,0.000,0,-17.808,-7.922,-96.257,0.981,-0.010,0.010,0.196,0.000,-0.000,0.005,1.897,1,1,14157,14219,14193,14164,22.593,-0.938,1.397,0,0,0,0,0,0,0
613890,1,937.369,651.828,650.261,44.110,0.003,0.010,-0.176,-0.230,9.801,-0.253,-0.215,0.004,0.002,0.000,8.649,-2.883,10.571,0.000,0,-17.892,-8.468,-95.991,0.980,-0.013,0.010,0.196,-0.000,-0.000,-0.003,1.668,1,1,14158,14222,14185,14168,22.599,-1.260,1.478,0,0,0,0,0,0,0
614890,1,937.339,652.092,650.261,44.120,0.002,0.008,0.069,-0.052,9.806,-0.249,-0.200,-0.001,0.002,-0.001,10.571,-6.727,2.883,0.000,0,-17.724,-8.244,-97.867,0.980,-0.014,0.011,0.196,0.009,0.036,0.001,1.928,1,1,14159,14219,14186,14164,22.639,-1.337,1.580,0,0,0,0,0,0,0
615890,1,937.344,652.047,650.261,44.120,0.002,0.008,-0.010,-0.114,9.790,-0.241,-0.192,0.011,0.001,0.000,16.337,0.000,3.844,0.000,0,-17.542,-8.132,-96.677,0.980,-0.013,0.011,0.197,0.005,0.015,-0.015,1.918,1,1,14160,14220,14186,14162,22.681,-1.186,1.466,0,0,0,0,0,0,0
616890,1,937.352,651.981,650.261,44.110,0.002,0.008,0.049,-0.279,9.790,-0.221,-0.192,-0.000,0.001,0.001,11.532,-1.922,13.454,0.000,0,-18.060,-8.678,-97.965,0.980,-0.011,0.010,0.197,0.015,-0.012,-0.015,2.074,1,1,14130,14218,14189,14160,22.730,-1.024,1.345,0,0,0,0,0,0,0
617890,1,937.298,652.457,650.261,44.110,-0.000,0.005,0.021,0.230,9.801,-0.231,-0.190,-0.006,-0.001,0.001,9.610,-3.844,9.610,0.000,0,-17.528,-7.782,-97.251,0.980,-0.012,0.009,0.197,-0.007,-0.008,-0.004,1.972,1,1,14156,14220,14189,14162,22.761,-1.087,1.296,0,0,0,0,0,0,0
618890,1,937.331,652.169,650.261,44.110,-0.000,0.005,-0.006,-0.038,9.801,-0.177,-0.159,-0.002,-0.001,0.001,20.181,-1.922,0.000,0.000,0,-17.360,-8.034,-96.761,0.980,-0.010,0.007,0.198,0.000,-0.000,-0.006,1.932,1,1,14151,14216,14184,14165,22.822,-0.932,1.034,0,0,0,0,0,0,0
619890,1,937.304,652.404,650.261,44.110,-0.002,0.003,0.069,0.170,9.812,-0.249,-0.160,0.011,0.002,-0.001,18.259,-1.922,7.688,0.000,0,-18.424,-7.768,-97.867,0.980,-0.011,0.011,0.198,-0.009,0.018,0.006,1.997,1,1,14156,14227,14190,14164,22.828,-1.050,1.449,0,0,0,0,0,0,0
620889,1,937.307,652.383,650.261,44.120,-0.002,0.001,-0.059,0.162,9.808,-0.180,-0.170,-0.006,-0.001,0.000,22.103,-2.883,-3.844,0.000,0,-17.094,-7.656,-97.783,0.980,-0.010,0.007,0.199,0.006,-0.011,0.001,1.936,1,1,14160,14215,14185,14168,22.903,-0.921,1.056,0,0,0,0,0,0,0
621890,1,937.334,652.140,650.261,44.120,-0.004,0.003,0.003,-0.018,9.811,-0.212,-0.086,0.010,0.002,-0.001,13.454,-3.844,0.000,0.000,0,-17.276,-7.278,-98.301,0.980,-0.010,0.011,0.199,0.003,0.081,0.003,1.846,1,1,14160,14215,14193,14166,22.954,-0.932,1.436,0,0,0,0,0,0,0
622890,1,937.361,651.902,650.261,44.140,-0.003,0.002,0.013,-0.333,9.807,-0.275,-0.260,0.004,0.003,-0.001,17.298,-4.805,-6.727,0.000,0,-18.004,-7.992,-97.447,0.980,-0.016,0.011,0.199,0.000,0.000,0.004,2.018,1,1,14153,14228,14192,14164,22.936,-1.517,1.607,0,0,0,0,0,0,0
623890,1,937.323,652.240,650.261,44.140,-0.000,0.005,-0.039,0.087,9.789,-0.284,-0.223,-0.001,-0.001,0.000,8.649,-3.844,11.532,0.000,0,-17.178,-7.964,-96.663,0.980,-0.014,0.011,0.199,-0.021,-0.014,-0.014,1.851,1,1,14155,14220,14186,14165,22.980,-1.273,1.519,0,0,0,0,0,0,0
624890,1,937.367,651.844,650.261,44.130,-0.000,0.005,-0.017,-0.318,9.789,-0.260,-0.200,-0.001,0.001,0.000,12.493,-5.766,9.610,0.000,0,-17.290,-7.950,-97.419,0.980,-0.013,0.011,0.200,0.000,0.000,-0.015,1.903,1,1,14160,14224,14185,14162,23.015,-1.170,1.519,0,0,0,0,0,0,0
625890,1,937.306,652.391,650.261,44.140,0.000,0.004,0.082,0.209,9.793,-0.207,-0.194,-0.006,-0.001,0.001,7.688,-0.961,10.571,0.000,0,-17.962,-8.062,-97.027,0.980,-0.012,0.008,0.200,-0.005,-0.005,-0.013,1.947,1,1,14166,14218,14186,14162,23.044,-1.120,1.173,0,0,0,0,0,0,0
626890,1,937.363,651.881,650.261,44.150,-0.001,0.002,-0.092,-0.283,9.807,-0.195,-0.181,-0.011,-0.002,0.001,18.259,-1.922,-6.727,0.000,0,-17.850,-7.796,-97.097,0.980,-0.011,0.009,0.200,0.015,-0.002,0.001,1.877,1,1,14157,14218,14183,14166,23.110,-1.011,1.214,0,0,0,0,0,0,0
627890,1,937.353,651.973,650.261,44.160,-0.002,0.002,-0.044,-0.110,9.802,-0.176,-0.114,0.001,0.001,-0.001,13.454,0.000,9.610,0.000,0,-17.668,-7.166,-96.467,0.980,-0.009,0.008,0.201,0.012,0.024,-0.006,1.766,1,1,14159,14216,14188,14164,23.154,-0.766,1.145,0,0,0,0,0,0,0
628890,1,937.341,652.074,650.261,44.160,-0.001,0.002,-0.012,-0.086,9.811,-0.241,-0.188,-0.002,0.001,0.000,10.571,-2.883,10.571,0.000,0,-17.570,-7.656,-96.971,0.979,-0.012,0.010,0.201,-0.009,-0.004,0.005,1.927,1,1,14156,14216,14189,14162,23.186,-1.095,1.350,0,0,0,0,0,0,0
629890,1,937.332,652.158,650.261,44.170,-0.001,0.001,-0.031,0.001,9.809,-0.217,-0.213,0.004,0.001,-0.001,10.571,-1.922,9.610,0.000,0,-18.116,-8.580,-96.887,0.979,-0.013,0.009,0.201,0.002,-0.005,0.004,1.889,1,1,14158,14215,14188,14163,23.213,-1.215,1.266,0,0,0,0,0,0,0
630890,1,937.363,651.883,650.261,44.160,-0.001,0.000,0.006,-0.335,9.807,-0.241,-0.158,0.007,0.001,0.000,15.376,0.000,8.649,0.000,0,-17.248,-8.132,-97.671,0.979,-0.011,0.010,0.202,-0.004,0.008,0.001,2.010,1,1,14155,14215,14192,14160,23.256,-0.971,1.403,0,0,0,0,0,0,0
631890,1,937.332,652.155,650.261,44.170,-0.002,-0.002,-0.023,-0.071,9.801,-0.230,-0.200,0.010,0.001,0.000,10.571,0.000,5.766,0.000,0,-17.724,-8.286,-95.725,0.979,-0.012,0.009,0.201,0.000,-0.001,-0.004,1.973,1,1,14132,14224,14200,14165,23.238,-1.165,1.343,0,0,0,0,0,0,0
632890,1,937.350,651.997,650.261,44.170,-0.002,-0.001,-0.099,-0.147,9.801,-0.253,-0.218,-0.006,0.001,0.000,21.142,-1.922,-0.961,0.000,0,-17.738,-8.454,-96.705,0.979,-0.013,0.010,0.202,-0.000,-0.000,-0.003,1.807,1,1,14160,14224,14193,14165,23.294,-1.273,1.478,0,0,0,0,0,0,0
633890,1,937.299,652.451,650.261,44.170,-0.000,0.001,0.001,0.261,9.799,-0.277,-0.226,-0.004,0.001,0.000,12.493,-0.961,0.000,0.000,0,-17.332,-8.328,-96.607,0.979,-0.014,0.011,0.202,-0.004,0.002,-0.005,1.947,1,1,14136,14217,14186,14159,23.335,-1.340,1.598,0,0,0,0,0,0,0
634890,1,937.344,652.055,650.261,44.170,-0.001,0.000,0.058,-0.194,9.803,-0.259,-0.199,0.002,-0.001,0.001,19.220,-4.805,-7.688,0.000,0,-17.668,-8.216,-97.279,0.979,-0.012,0.010,0.203,-0.018,-0.024,-0.001,2.039,1,1,14153,14217,14178,14162,23.383,-1.076,1.364,0,0,0,0,0,0,0
635890,1,937.339,652.092,650.261,44.180,-0.001,-0.001,-0.083,-0.093,9.813,-0.211,-0.184,-0.002,-0.001,0.001,11.532,-2.883,7.688,0.000,0,-18.368,-8.468,-97.153,0.979,-0.010,0.008,0.203,0.001,-0.021,0.007,1.881,1,1,14155,14221,14186,14161,23.419,-0.963,1.188,0,0,0,0,0,0,0
636890,1,937.341,652.076,650.261,44.190,-0.001,-0.000,-0.040,-0.076,9.813,-0.189,-0.168,0.007,-0.001,0.000,10.571,-1.922,6.727,0.000,0,-17.752,-8.230,-97.643,0.979,-0.010,0.008,0.203,0.006,-0.010,0.006,1.852,1,1,14158,14221,14185,14168,23.459,-0.917,1.112,0,0,0,0,0,0,0
637890,1,937.318,652.277,650.261,44.190,-0.001,0.002,0.033,0.070,9.813,-0.231,-0.169,0.006,-0.001,0.001,11.532,0.000,8.649,0.000,0,-17.542,-8.328,-97.041,0.979,-0.010,0.009,0.204,-0.007,-0.016,0.007,1.969,1,1,14112,14220,14188,14162,23.482,-0.917,1.277,0,0,0,0,0,0,0
638890,1,937.322,652.248,650.261,44.190,-0.001,0.001,-0.103,0.133,9.807,-0.225,-0.178,-0.006,0.001,-0.001,6.727,1.922,4.805,0.000,0,-17.906,-8.636,-97.615,0.979,-0.013,0.011,0.204,0.019,0.044,0.001,1.771,1,1,14160,14223,14189,14166,23.500,-1.231,1.515,0,0,0,0,0,0,0
639890,1,937.362,651.891,650.261,44.190,0.001,0.004,0.019,-0.192,9.796,-0.229,-0.188,-0.001,0.002,-0.001,16.337,-1.922,0.000,0.000,0,-17.710,-8.020,-96.859,0.979,-0.013,0.010,0.204,0.014,0.033,-0.009,1.783,1,1,14160,14221,14196,14162,23.532,-1.244,1.487,0,0,0,0,0,0,0
640890,1,937.312,652.330,650.261,44.190,0.001,0.003,0.025,0.244,9.794,-0.251,-0.211,-0.002,-0.001,-0.001,14.415,0.000,9.610,0.000,0,-16.926,-8.566,-96.579,0.979,-0.013,0.012,0.204,0.026,0.003,-0.011,1.823,1,1,14153,14216,14186,14168,23.566,-1.189,1.611,0,0,0,0,0,0,0
641890,1,937.336,652.118,650.261,44.200,0.001,0.002,-0.009,-0.018,9.799,-0.282,-0.215,0.001,0.001,0.001,8.649,-4.805,8.649,0.000,0,-17.556,-8.468,-98.483,0.979,-0.014,0.012,0.205,-0.000,-0.000,-0.005,1.899,1,1,14160,14209,14189,14160,23.597,-1.260,1.653,0,0,0,0,0,0,0
642890,1,937.333,652.145,650.261,44.190,0.001,0.002,-0.085,0.072,9.809,-0.238,-0.182,-0.000,-0.001,0.000,21.142,-1.922,-2.883,0.000,0,-17.654,-8.020,-96.467,0.979,-0.012,0.010,0.205,-0.002,0.008,0.004,1.753,1,1,14157,14218,14190,14161,23.641,-1.108,1.397,0,0,0,0,0,0,0
643890,1,937.326,652.214,650.261,44.160,0.001,0.002,-0.030,0.156,9.813,-0.243,-0.193,-0.007,-0.001,0.001,21.142,-1.922,-2.883,0.000,0,-17.808,-8.244,-96.537,0.979,-0.011,0.010,0.205,-0.006,-0.017,0.008,1.762,1,1,14128,14224,14189,14162,23.693,-1.051,1.349,0,0,0,0,0,0,0
644890,1,937.303,652.409,650.261,44.170,0.001,0.002,0.092,0.309,9.814,-0.211,-0.154,-0.001,0.001,0.000,14.415,0.000,2.883,0.000,0,-17.948,-8.720,-97.055,0.979,-0.010,0.009,0.206,0.003,-0.004,0.008,1.882,1,1,14146,14213,14192,14160,23.737,-0.876,1.236,0,0,0,0,0,0,0
645890,1,937.318,652.277,650.261,44.180,0.002,0.004,0.085,0.109,9.806,-0.212,-0.158,-0.002,0.002,0.000,21.142,-6.727,-0.961,0.000,0,-17.262,-8.398,-96.677,0.978,-0.010,0.009,0.206,0.000,-0.000,-0.001,1.978,1,1,14160,14218,14182,14164,23.784,-0.925,1.237,0,0,0,0,0,0,0
646890,1,937.301,652.433,650.261,44.200,0.003,0.006,0.104,0.203,9.803,-0.181,-0.151,0.015,0.001,0.001,19.220,-0.961,-6.727,0.000,0,-17.430,-7.992,-98.217,0.978,-0.010,0.008,0.206,0.007,0.006,-0.004,2.039,1,1,14160,14222,14182,14165,23.822,-0.894,1.106,0,0,0,0,0,0,0
647890,1,937.342,652.071,650.261,44.210,0.001,0.004,-0.036,-0.172,9.791,-0.213,-0.162,0.020,0.001,0.000,15.376,-13.454,-2.883,0.000,0,-17.528,-8.832,-96.803,0.978,-0.011,0.009,0.207,0.003,0.008,-0.015,1.991,1,1,14154,14220,14196,14162,23.840,-0.978,1.278,0,0,0,0,0,0,0
648890,1,937.313,652.322,650.261,44.210,-0.001,0.002,0.031,0.049,9.797,-0.209,-0.152,0.001,0.001,0.000,17.298,-2.883,-4.805,0.000,0,-17.430,-7.866,-96.775,0.978,-0.012,0.009,0.207,0.003,0.039,-0.009,2.042,1,1,14160,14217,14187,14164,23.871,-1.088,1.331,0,0,0,0,0,0,0
649890,1,937.337,652.108,650.261,44.210,-0.000,0.006,-0.067,-0.118,9.799,-0.215,-0.175,-0.000,0.001,0.000,18.259,-6.727,-9.610,0.000,0,-17.332,-8.202,-97.055,0.978,-0.014,0.010,0.207,0.017,0.058,-0.008,1.931,1,1,14158,14212,14193,14168,23.912,-1.291,1.485,0,0,0,0,0,0,0
650890,1,937.313,652.325,650.261,44.220,-0.006,-0.004,-0.037,0.097,9.738,-0.391,-0.220,-0.012,0.001,0.000,19.220,-3.844,-2.883,0.000,0,-17.864,-9.014,-97.167,0.978,-0.012,0.010,0.208,-0.126,-0.083,-0.063,1.949,1,1,14158,14226,14192,14168,23.947,-1.153,1.430,0,0,0,0,0,0,0
651889,1,937.314,652.319,650.261,44.220,0.003,0.030,0.039,0.046,12.266,0.048,0.239,-0.000,0.014,0.007,31.713,-1.922,7.688,0.000,0,-17.780,-8.720,-96.929,0.978,-0.014,0.010,0.208,0.111,0.612,2.442,2.035,1,1,14160,14222,14184,14159,23.968,-1.283,1.411,0,0,0,0,0,0,0
652889,1,934.537,676.974,650.261,44.140,1.761,1.469,18.037,19.502,39.192,0.320,0.334,-0.696,0.090,0.353,130.696,0.000,2.883,0.000,0,-8.904,-36.062,-76.909,0.960,-0.003,0.081,0.269,6.148,2.374,28.827,15.353,1,1,14160,14214,14188,14158,31.538,2.233,9.060,0,0,0,0,0,0,0
653889,1,921.941,789.554,650.261,43.940,9.426,5.141,70.727,83.406,39.192,0.241,3.192,-5.002,0.031,0.115,105.710,-11.532,13.454,0.000,0,-7.952,-6.144,-68.999,0.539,-0.091,0.024,-0.837,9.773,0.726,28.272,103.903,1,1,14153,14216,14185,14162,-113.994,-8.025,-7.294,0,0,0,0,0,0,0
654889,1,899.798,990.522,650.261,44.160,15.311,7.047,146.843,160.517,34.436,0.521,2.301,-8.380,0.052,0.090,39.401,-1.922,6.727,0.000,0,-6.916,-7.460,-58.471,-0.218,0.083,0.012,0.972,5.866,-0.237,24.204,297.348,1,1,14159,14218,14183,14160,-154.706,-0.697,-9.553,0,0,0,0,0,0,0
655889,1,875.282,1217.755,650.261,44.210,15.668,7.453,192.386,202.447,4.235,1.514,3.234,-9.416,0.257,0.156,17.298,0.000,-14.415,0.000,0,-7.070,-34.564,-72.821,-0.928,0.020,-0.083,-0.362,-0.506,3.805,-5.815,541.589,1,1,14154,14216,14185,14164,42.686,1.321,9.653,0,0,0,0,0,0,0
656889,1,852.045,1437.939,650.261,44.180,15.725,7.593,207.847,212.901,-4.849,2.632,3.099,-8.800,0.104,0.095,0.000,-15.376,22.103,0.000,0,-5.950,-2.658,-68.985,0.494,-0.071,0.017,-0.866,0.657,-4.044,-14.633,778.438,1,1,14152,14220,14185,14165,-120.261,-5.726,-6.163,0,0,0,0,0,0,0
657890,1,830.470,1646.776,650.261,44.150,13.510,5.974,206.234,208.906,-7.588,1.566,3.107,-8.080,0.199,0.161,-12.493,-0.961,14.415,0.000,0,-6.342,-25.422,-53.879,0.519,0.044,0.087,0.849,-4.689,-0.767,-16.674,996.629,1,1,14143,14220,14191,14164,117.169,11.173,0.843,0,0,0,0,0,0,0
658889,1,810.979,1839.253,650.261,44.030,10.863,5.332,196.234,197.772,-6.678,0.618,2.027,-7.329,0.123,0.114,-7.688,0.000,19.220,0.000,0,-7.476,-33.038,-69.503,-0.935,0.021,-0.143,-0.324,-2.479,1.084,-16.273,1193.211,1,1,14132,14220,14189,14160,38.713,3.191,16.350,0,0,0,0,0,0,0
659889,1,793.303,2017.064,650.261,43.830,8.784,4.534,183.483,184.839,-5.422,0.712,2.109,-6.410,0.089,0.106,-7.688,-2.883,-6.727,0.000,0,-7.896,-29.426,-77.315,0.986,-0.057,0.141,0.067,-1.104,1.442,-15.383,1372.091,1,1,14158,14216,14189,14168,6.942,-5.659,16.604,0,0,0,0,0,0,0
660890,1,777.473,2179.062,650.261,43.590,7.008,3.660,170.023,169.755,-4.726,0.625,1.721,-5.765,0.071,0.101,0.961,0.000,-20.181,0.000,0,-7.308,-31.274,-75.173,-0.974,0.045,-0.152,-0.162,-1.332,1.164,-14.560,1535.893,1,1,14160,14216,14191,14161,18.457,-2.368,18.068,0,0,0,0,0,0,0
661890,1,762.974,2329.785,650.261,43.400,5.583,2.758,156.666,156.790,-3.954,0.384,1.325,-5.191,0.070,0.087,5.766,-0.961,0.000,0.000,0,-7.560,-32.674,-65.429,0.831,0.017,0.157,0.533,-2.125,0.363,-13.400,1686.221,1,1,14156,14214,14186,14164,66.830,11.657,14.023,0,0,0,0,0,0,0
662890,1,749.821,2468.544,650.261,43.250,4.573,2.199,144.384,144.873,-3.231,0.390,1.106,-4.688,0.078,0.026,0.000,-2.883,0.000,0.000,0,-7.672,-18.842,-51.317,-0.316,-0.114,-0.103,-0.936,-1.828,-1.013,-12.539,1824.060,1,1,14143,14221,14183,14163,141.590,15.502,-8.535,0,0,0,0,0,0,0
663889,1,738.170,2593.112,650.261,43.070,3.388,2.099,131.934,131.544,-2.724,0.242,0.734,-4.272,0.009,0.022,0.961,-1.922,-2.883,0.000,0,-6.384,-5.360,-68.327,-0.543,0.166,-0.046,0.822,-0.319,-0.801,-12.507,1949.315,1,1,14155,14197,14173,14159,-111.353,-15.190,-12.834,0,0,0,0,0,0,0
664890,1,727.490,2708.714,650.261,42.930,2.100,1.517,120.723,120.644,-2.278,0.253,0.645,-3.901,0.058,0.062,2.883,-3.844,0.000,0.000,0,-7.420,-27.074,-76.755,0.975,-0.050,0.184,0.112,-0.717,0.362,-12.051,2064.234,1,1,14158,14226,14185,14167,12.416,-3.444,21.733,0,0,0,0,0,0,0
665889,1,717.958,2813.047,650.261,42.790,1.611,1.108,109.583,109.682,-1.884,0.117,0.626,-3.599,0.045,0.039,0.000,-5.766,6.727,0.000,0,-7.364,-16.756,-52.507,-0.183,-0.161,-0.091,-0.966,-0.954,-0.750,-11.385,2168.299,1,1,14154,14220,14188,14161,156.523,14.178,-16.106,0,0,0,0,0,0,0
