FLIGHT BEGIN
time,state,pressure,altitude,startAlt,temperature,velocity_world_x,velocity_world_y,velocity_world_z,baro_vz,lsm_accel_r,lsm_accel_p,lsm_accel_y,lsm_gyro_r,lsm_gyro_p,lsm_gyro_y,adxl_accel_r,adxl_accel_p,adxl_accel_y,predicted_apogee,airbrake_deployment,mag_r,mag_p,mag_yq0,q1,q2,q3,accel_world_x,accel_world_y,accel_world_zalt_fused,cam1_on,cam2_on,main_p_ematch_voltage,main_s_ematch_voltage,drogue_p_ematch_voltage,drogue_s_ematch_voltageroll,pitch_yaw,t_burnout,t_apogee,t_drogue,t_main,t_landdrogue_validated_baro,main_validated_baro
Entering state: DISARMED
17269,0,939.751,630.727,630.597,34.450,-0.141,-0.037,0.127,-0.156,0.669,0.178,-10.164,-0.001,-0.001,-0.000,7.688,0.000,-5.766,0.000,0,-18.242,-57.398,-75.159,0.713,-0.670,0.133,-0.154,0.005,-0.002,0.377,0.375,1,1,18,0,2,0,-23.460,-86.235,-0.978,0,0,0,0,0,0,0
18269,0,939.763,630.618,630.597,34.460,-0.135,-0.034,0.005,-0.176,0.674,0.176,-10.176,0.005,-0.004,-0.000,7.688,-1.922,-8.649,0.000,0,-18.676,-57.692,-73.941,0.714,-0.670,0.133,-0.154,0.000,0.000,0.390,0.189,1,1,10,8,1,1,-23.497,-86.210,-0.989,0,0,0,0,0,0,0
19269,0,939.741,630.814,630.597,34.450,-0.128,-0.033,0.080,-0.002,0.658,0.160,-10.153,-0.002,-0.000,-0.001,4.805,0.000,-7.688,0.000,0,-18.844,-57.944,-74.823,0.713,-0.671,0.133,-0.154,-0.017,0.004,0.366,0.254,1,1,10,2,8,0,-23.485,-86.272,-0.998,0,0,0,0,0,0,0
20269,0,939.705,631.136,630.597,34.440,-0.121,-0.032,0.185,0.260,0.651,0.186,-10.155,0.000,-0.005,-0.000,7.688,-2.883,-8.649,0.000,0,-18.522,-57.762,-73.493,0.713,-0.671,0.133,-0.155,0.009,0.002,0.368,0.381,1,1,10,0,8,4,-23.526,-86.362,-1.005,0,0,0,0,0,0,0
21269,0,939.766,630.595,630.597,34.460,-0.116,-0.031,0.071,-0.289,0.674,0.183,-10.163,0.000,-0.000,0.001,4.805,-2.883,-6.727,0.000,0,-18.466,-58.084,-72.975,0.713,-0.670,0.133,-0.155,0.003,0.001,0.376,0.350,1,1,10,4,2,9,-23.549,-86.217,-1.018,0,0,0,0,0,0,0
22269,0,939.702,631.163,630.597,34.480,-0.110,-0.030,0.099,0.278,0.666,0.184,-10.163,0.000,-0.000,0.001,4.805,-2.883,-6.727,0.000,0,-19.362,-58.168,-74.109,0.713,-0.670,0.133,-0.155,-0.000,-0.000,0.376,0.340,1,1,8,8,3,8,-23.603,-86.254,-1.036,0,0,0,0,0,0,0
23268,0,939.737,630.851,630.597,34.480,-0.104,-0.029,0.156,-0.100,0.670,0.182,-10.158,0.000,-0.000,0.001,5.766,-2.883,-17.298,0.000,0,-18.942,-58.196,-73.843,0.713,-0.670,0.133,-0.156,-0.009,-0.001,0.371,0.456,1,1,9,0,8,0,-23.657,-86.200,-1.068,0,0,0,0,0,0,0
24268,0,939.721,630.991,630.597,34.480,-0.099,-0.027,0.116,0.096,0.669,0.186,-10.157,0.000,-0.000,0.001,5.766,-17.298,-14.415,0.000,0,-18.704,-58.238,-74.907,0.713,-0.670,0.134,-0.156,-0.000,0.000,0.370,0.337,1,1,8,2,2,10,-23.717,-86.230,-1.042,0,0,0,0,0,0,0
25268,0,939.729,630.925,630.597,34.490,-0.096,-0.025,0.151,-0.036,0.638,0.200,-10.152,0.003,-0.000,-0.000,5.766,-0.961,-3.844,0.000,0,-18.816,-58.014,-74.767,0.713,-0.670,0.133,-0.157,-0.018,-0.035,0.364,0.472,1,1,0,0,6,0,-23.753,-86.184,-1.141,0,0,0,0,0,0,0
26268,0,939.706,631.126,630.597,34.500,-0.108,-0.009,0.112,0.164,0.784,4.654,-8.588,-0.352,0.008,0.037,4.805,2.883,-4.805,0.000,0,-33.320,-63.152,-76.713,0.655,-0.663,-0.085,-0.352,-1.206,0.204,-0.087,0.432,1,1,12,2,1,8,-25.283,-82.585,-35.280,0,0,0,0,0,0,0
27269,0,939.744,630.793,630.597,34.520,-0.127,0.003,-0.007,-0.126,1.318,1.921,-9.896,0.008,-0.000,-0.000,8.649,-5.766,-6.727,0.000,0,-15.652,-53.660,-72.583,0.726,-0.658,0.049,-0.196,0.025,-0.006,0.356,0.323,1,1,8,1,1,2,-20.788,-82.431,-10.750,0,0,0,0,0,0,0
28269,0,939.713,631.065,630.597,34.530,-0.301,0.066,0.268,0.141,1.411,-0.636,-10.057,0.004,-0.000,-0.000,3.844,-3.844,-6.727,0.000,0,-13.384,-50.328,-75.089,0.749,-0.644,0.122,-0.098,-0.070,0.007,0.365,0.410,1,1,8,0,4,0,-17.757,-81.931,3.196,0,0,0,0,0,0,0
29269,0,939.748,630.758,630.597,34.520,-0.284,0.062,0.091,-0.178,1.430,-0.420,-10.060,-0.014,-0.001,-0.000,14.415,-6.727,-7.688,0.000,0,-12.446,-49.726,-76.279,0.748,-0.645,0.117,-0.104,-0.004,0.012,0.359,0.410,1,1,11,2,2,0,-17.897,-81.960,2.328,0,0,0,0,0,0,0
30269,0,939.701,631.173,630.597,34.540,-0.270,0.059,0.185,0.172,1.421,-0.431,-10.072,-0.007,-0.003,-0.000,8.649,4.805,-10.571,0.000,0,-12.740,-49.838,-75.089,0.748,-0.645,0.119,-0.103,0.024,-0.012,0.370,0.518,1,1,80,2,8,1,-17.882,-81.946,2.572,0,0,0,0,0,0,0
31269,0,939.740,630.827,630.597,34.550,-0.279,0.067,0.057,-0.181,1.463,-0.604,-10.097,0.010,0.001,-0.000,4.805,-2.883,-22.103,0.000,0,-12.880,-50.202,-75.999,0.748,-0.645,0.121,-0.099,-0.045,0.063,0.410,0.466,1,1,10,74,0,2,-17.747,-82.017,3.043,0,0,0,0,0,0,0
32269,0,939.749,630.745,630.597,34.570,-0.295,0.075,-0.061,-0.154,1.331,-1.026,-9.958,-0.229,0.044,-0.005,6.727,-2.883,-10.571,0.000,0,-14.504,-50.468,-75.033,0.748,-0.645,0.129,-0.089,-0.229,0.055,0.286,0.250,1,1,4,4,8,0,-17.473,-82.291,4.499,0,0,0,0,0,0,0
33269,0,939.731,630.909,630.597,34.580,-0.289,0.074,0.181,0.044,1.396,-0.213,-10.074,-0.106,0.002,-0.004,6.727,-0.961,-12.493,0.000,0,-13.398,-50.538,-75.201,0.748,-0.646,0.119,-0.099,0.280,-0.098,0.358,0.285,1,1,10,2,71,6,-17.615,-82.064,2.864,0,0,0,0,0,0,0
34269,0,939.751,630.724,630.597,34.600,-0.288,0.073,0.036,-0.122,1.430,-0.564,-10.228,-0.096,0.015,-0.004,3.844,-1.922,-8.649,0.000,0,-15.204,-49.572,-74.991,0.748,-0.645,0.136,-0.078,0.496,-0.074,0.521,0.273,1,1,8,1,8,4,-17.111,-82.456,5.865,0,0,0,0,0,0,0
35269,0,939.747,630.764,630.597,34.610,-0.272,0.069,0.146,-0.121,1.398,-0.408,-10.044,-0.063,-0.004,-0.000,8.649,-12.493,-7.688,0.000,0,-13.804,-51.252,-75.173,0.748,-0.646,0.116,-0.100,0.040,-0.011,0.339,0.369,1,1,12,4,2,76,-17.449,-82.082,2.538,0,0,0,0,0,0,0
36269,0,939.703,631.152,630.597,34.630,-0.226,0.053,0.235,0.174,1.410,0.644,-9.943,-0.079,0.002,-0.004,6.727,0.000,-8.649,0.000,0,-13.748,-52.092,-74.935,0.750,-0.643,0.121,-0.095,1.178,-0.405,0.176,0.528,1,1,10,0,6,4,-17.368,-81.733,3.434,0,0,0,0,0,0,0
37268,0,939.692,631.252,630.597,34.640,-0.179,0.042,0.139,0.209,1.653,7.267,-7.012,-1.386,-0.065,0.089,5.766,0.000,-5.766,0.000,0,-34.566,-63.278,-72.891,0.616,-0.649,-0.129,-0.427,0.151,0.344,0.416,0.570,1,1,8,2,8,2,-30.857,-79.695,-45.568,0,0,0,0,0,0,0
38269,0,939.662,631.519,630.597,34.640,-0.169,0.072,0.031,0.350,1.192,7.400,4.480,-1.170,0.077,0.088,6.727,1.922,5.766,0.000,0,-41.622,-69.396,-89.173,0.267,-0.369,-0.536,-0.711,-0.567,-0.004,-1.096,0.697,1,1,2,1,5,2,178.394,74.864,-54.193,0,0,0,0,0,0,0
39268,0,939.706,631.131,630.597,34.630,-0.067,0.011,-0.136,0.050,0.631,2.541,9.161,-0.007,-0.006,-0.000,9.610,0.000,9.610,0.000,0,-11.480,-55.116,-104.489,0.017,-0.172,-0.660,-0.731,0.074,-0.051,-0.283,0.423,1,1,8,0,8,2,167.867,85.849,-15.968,0,0,0,0,0,0,0
40268,0,939.760,630.653,630.597,34.640,-0.064,0.011,-0.190,-0.362,0.656,2.619,9.143,0.002,-0.000,-0.001,7.688,-0.961,7.688,0.000,0,-11.214,-55.032,-104.783,0.017,-0.173,-0.660,-0.731,-0.004,-0.003,-0.277,0.308,1,1,10,0,8,0,167.786,85.875,-15.925,0,0,0,0,0,0,0
41268,0,939.718,631.023,630.597,34.660,-0.061,0.010,-0.070,-0.052,0.664,2.612,9.139,0.000,-0.001,-0.001,8.649,0.961,13.454,0.000,0,-11.550,-54.934,-104.475,0.016,-0.173,-0.660,-0.731,0.000,0.000,-0.282,0.457,1,1,8,0,5,4,167.751,85.842,-15.909,0,0,0,0,0,0,0
42268,0,939.674,631.408,630.597,34.680,-0.059,0.010,-0.118,0.323,0.649,2.609,9.120,0.002,-0.001,-0.000,0.000,-5.766,14.415,0.000,0,-11.536,-55.116,-104.181,0.016,-0.173,-0.660,-0.731,0.000,0.000,-0.302,0.443,1,1,4,3,2,4,167.691,85.929,-15.929,0,0,0,0,0,0,0
43268,0,939.710,631.091,630.597,34.680,-0.056,0.010,-0.081,-0.046,0.661,2.606,9.133,0.002,-0.001,-0.000,6.727,5.766,10.571,0.000,0,-11.620,-55.116,-105.007,0.016,-0.173,-0.660,-0.731,0.000,0.000,-0.289,0.529,1,1,10,0,10,0,167.677,85.861,-15.883,0,0,0,0,0,0,0
44268,0,939.737,630.851,630.597,34.690,-0.053,0.009,-0.140,-0.255,0.658,2.601,9.121,0.002,-0.000,-0.000,5.766,0.000,16.337,0.000,0,-11.270,-54.752,-104.769,0.015,-0.173,-0.660,-0.731,0.001,-0.000,-0.302,0.448,1,1,4,0,8,0,167.638,85.871,-15.880,0,0,0,0,0,0,0
45268,0,939.708,631.107,630.597,34.700,-0.050,0.009,-0.089,0.028,0.650,2.594,9.147,-0.001,-0.003,-0.000,8.649,0.000,13.454,0.000,0,-11.928,-55.214,-104.251,0.015,-0.173,-0.660,-0.731,0.010,-0.012,-0.280,0.424,1,1,0,0,4,0,167.606,85.878,-15.868,0,0,0,0,0,0,0
46268,0,939.687,631.292,630.597,34.710,-0.048,0.008,-0.059,0.155,0.655,2.595,9.124,0.000,-0.001,-0.000,10.571,0.000,11.532,0.000,0,-11.494,-54.766,-105.539,0.015,-0.173,-0.660,-0.731,-0.000,0.000,-0.302,0.530,1,1,6,2,8,0,167.568,85.894,-15.839,0,0,0,0,0,0,0
